gene_name,entrezgene_id,padj,Log2FC,absLogFC
FLYWCH2,114984,0.017304892,0.13062335,0.13062335
KAT2A,2648,0.003028559,-0.130751273,0.130751273
ZBTB32,27033,0.08742919,0.130779058,0.130779058
LRRCC1,85444,0.049910754,0.130831529,0.130831529
COA1,55744,0.000224633,0.130859353,0.130859353
SREK1,140890,0.000441952,0.130881664,0.130881664
CAPRIN1,4076,4.55e-05,0.131056983,0.131056983
DENND1C,79958,0.049138722,0.131107866,0.131107866
COL6A1,1291,0.198549436,-0.131127264,0.131127264
UBE2E1,7324,0.001655972,0.131167242,0.131167242
CTPS1,1503,0.250800719,-0.131207761,0.131207761
RNF25,64320,0.003038486,0.13124476,0.13124476
ARHGEF12,23365,0.00075372,-0.131244769,0.131244769
ZBTB47,92999,0.068311202,-0.131263721,0.131263721
RBBP4,5928,0.000129389,0.131364333,0.131364333
SDR42E2,100288072,0.283152238,0.131433396,0.131433396
NLGN4Y,22829,0.757423616,-0.131448982,0.131448982
CCDC40,55036,0.093353189,-0.131485968,0.131485968
HABP2,3026,0.676668521,0.131579242,0.131579242
ZNF551,90233,0.012703128,0.1315864,0.1315864
PAXBP1,94104,0.000166687,0.131605419,0.131605419
SMIM10L1,100129361,0.003973897,0.131705929,0.131705929
OR2A42,402317,0.227167117,-0.131796958,0.131796958
KDM8,79831,0.020248732,-0.131828988,0.131828988
EIF3L,51386,0.008928532,0.131832154,0.131832154
MFAP1,4236,0.002210443,0.13184815,0.13184815
SCAF1,58506,0.025533322,-0.131849758,0.131849758
SPRED2,200734,0.036149025,-0.131880324,0.131880324
CSTF3,1479,0.000449514,0.131880402,0.131880402
MEF2D,4209,0.041993567,0.131903302,0.131903302
ADAT1,23536,0.011526113,-0.13192091,0.13192091
CYP2U1,113612,0.008483649,-0.131947166,0.131947166
MIR576,693161,0.190517328,0.132084172,0.132084172
IL6ST,3572,0.016331854,0.132166319,0.132166319
FRMD4B,23150,0.01122359,-0.132171924,0.132171924
UPRT,139596,0.000175905,0.13219898,0.13219898
CTR9,9646,1.71e-05,-0.132220426,0.132220426
WDR89,112840,0.012172833,-0.132254535,0.132254535
ZNF629,23361,0.003014771,-0.132270165,0.132270165
