gene_name,entrezgene_id,padj,Diff
AGPAT5,55326,5.96e-25,-7.108312453
AGR2,10551,1.06e-17,-1.311189388
AGR3,155465,8.48e-17,0.821453063
AGRN,375790,8.83e-38,-2.159719906
AGRP,181,4.84e-40,1.223683797
AGTPBP1,23287,4.45e-16,7.197973397
AGTR1,185,3.85e-06,-2.672508895
AGTR2,186,0.046092521,-1.715145901
AGXT2,64902,4.36e-06,-2.643598274
AHCYL2,23382,4.52e-13,-5.064208948
AHI1,54806,2.99e-05,-3.265809619
AHNAK2,113146,1.32e-67,-2.253922155
AHSG,197,1.96e-23,-1.956638472
AHSP,51327,1.22e-25,-1.662317181
AICDA,57379,5.15e-18,-0.905286192
AIF1,199,5.82e-19,-1.152947578
AIF1L,83543,7.67e-70,3.083372287
AIFM1,9131,5.1e-07,-2.150644685
AIFM3,150209,1.48e-14,-0.779741005
AIG1,51390,7.42e-13,-4.054211588
AIM2,9447,3.62e-07,-2.956768709
AIMP1,9255,4.77e-07,-3.51748565
AIMP2,7965,5.65e-59,2.485139606
AIP,9049,0.000136927,-3.25559638
AIPL1,23746,1.87e-08,-0.787980631
AIRE,326,1.17e-14,-1.62611871
AIRN,100271873,4.77e-08,0.578578
AJUBA,84962,6.22e-18,1.362574419
AK1,203,8.35e-64,2.407173753
AK2,204,2.09e-32,-1.57615767
AK3,50808,8.26e-07,0.398272159
AK4,205,0.000143673,-2.557099327
AK5,26289,1.19e-24,-1.503864316
AK7,122481,2.52e-20,-1.075793803
AK9,221264,4.7e-05,-0.26588128
AKAP10,11216,0.000143164,-2.521732056
AKAP11,11215,0.000123543,-1.340694776
AKAP12,9590,3.02e-08,-2.522732211
AKAP14,158798,0.002305163,2.149036783
AKAP3,10566,4.68e-14,-1.049730483
AKAP4,8852,6.51e-06,-0.904971403
AKAP5,9495,8.37e-17,0.939069917
AKAP6,9472,4.45e-11,-3.324995484
AKAP7,9465,1.03e-26,1.794956948
AKAP8L,26993,1.33e-10,-0.768772624
AKAP9,10142,2.64e-06,2.763947241
AKIRIN1,79647,0.004415223,1.833271714
AKIRIN2,55122,0.001698913,-1.059766089
AKNA,80709,1.26e-11,-1.773091537
AKNAD1,254268,4.83e-41,-2.269555609
AKR1A1,10327,4.04e-14,0.839889058
AKR1B1,231,8.62e-25,-2.110313844
AKR1B10,57016,2.83e-07,-0.703948916
AKR1B15,441282,3.95e-44,-2.719369444
AKR1C1,1645,0.005561255,-0.371024423
AKR1C2,1646,0.0243916,0.105007611
AKR1C3,8644,9.15e-05,-2.76908596
AKR1C4,1109,5.55e-10,-5.5678196
AKR1D1,6718,5.14e-33,-1.547590475
AKR1E2,83592,0.005263774,0.480441418
AKR7A2,8574,4.29e-17,1.037823374
AKR7A3,22977,0.000313552,0.261339576
AKR7L,246181,3.13e-08,-1.624926322
AKT1,207,8.01e-33,2.220245957
AKT1S1,84335,9.5e-14,-1.061927609
AKT2,208,8.68e-48,2.332195998
AKT3,10000,0.01438152,-2.592856236
AKTIP,64400,1.78e-17,1.069272675
ALAS2,212,0.001086226,-0.390497178
ALB,213,0.00039835,-3.45105325
